"Time","PULV E OLT AIR & COAL DUST MIX P","COAL FDR E BELT MOTOR CURRENT","PULV F GRINDING BOWL UP & LWR DP","Coal FDR E Rate","Mill E Cold PA Damper","Mill E Current","Mill E Hot PA Damper Ctrl","Inlet Temperature E","Outlet Temperature E","Mill E PA Flow","Mill E Primary Air Pressure","E1 velocity","E2 velocity","E3 velocity","E4 velocity","Mill-1E Thrust Bearing Temp.1","Mill-1E Thrust Bearing Temp.2","Mill-1E Thrust Bearing Temp.3","Mill-1E Thrust Bearing Temp.4","Mill-1E Shaft Bearing Temp.1","Mill-1E Shaft Bearing Temp.2","Mill-1E MTR stator winding Temp.1","Mill-1E MTR stator winding Temp.2","Mill-1E MTR stator winding Temp.3","Mill-1E MTR stator winding Temp.4","Mill-1E MTR stator winding Temp.5","Mill-1E MTR stator winding Temp.6","Mill-1E MTR Bearing Temp.1","Mill-1E MTR Bearing Temp.2"
2022-01-01 10:15:00,2.65907914809333,2.04375429792593,2.73602505509333,56.0246300241333,0.368348958333333,55.7445471885651,51.2714858449333,281.972189444,69.4477103189333,157.997237044444,6.62200807322667,22.131986618042,21.2493190765381,19.654182434082,19.3909301757812,33.9042434692383,34.7096824645996,31.630859375,32.5661964416504,30.5949802398682,32.8821258544922,28.1233558654785,26.9022216796875,27.4642906188965,24.9887199401855,26.8603954315186,26.2710838317871,18.3672981262207,15.6652173995972
2022-01-01 10:30:00,2.70598986077333,2.00229286614815,2.68233756276,57.8746610941333,0.357756510416667,57.0209217581386,51.3399128529333,294.712688238667,70.5131456642667,151.234147437037,6.61900801554667,26.6449489593506,25.1599140167236,25.2956829071045,25.7447967529297,34.0809593200684,34.929744720459,32.1643447875977,33.0034065246582,35.8598289489746,37.9369316101074,32.8728065490723,31.7921772003174,34.052864074707,31.8075675964355,32.8405838012695,33.0397186279297,19.6543350219727,17.0822925567627
2022-01-01 10:45:00,2.66329228446667,2.01696864007407,2.67873208918667,57.8987370858667,0.345609809027778,56.7031962426111,51.3465155577333,294.970594596,71.7520112976,150.266508455556,6.59461778310667,25.6666965484619,24.9882297515869,25.1643848419189,26.1605072021484,36.9051055908203,37.7105484008789,34.631721496582,35.5930480957031,40.0543746948242,41.7246894836426,39.3125190734863,38.2690925598145,41.0096817016602,38.7662048339844,39.3970375061035,39.9783821105957,24.9952659606934,19.1495532989502
2022-01-01 11:00:00,2.68180169624,1.99827785592593,2.6768849486,57.7027239333333,0.333688368055556,56.1265276850926,51.3651198556,295.8237937,73.2820787192,151.072761477778,6.63603833801333,25.6912174224854,24.9949722290039,25.044376373291,26.1459369659424,39.0390701293945,39.9178504943848,37.0424308776855,37.88037109375,42.502986907959,44.3454475402832,43.5694274902344,42.5716934204102,45.1616973876953,43.1731300354004,43.5807723999023,44.1415596008301,29.4327774047852,21.6669445037842
2022-01-01 11:15:00,2.71148267088,2.016705802,2.702539378,57.5764324113333,0.327052083333333,55.6218927499555,51.3681070388,296.386806197333,74.6902851066667,151.470972974074,6.727026778,25.708646774292,25.1142196655273,25.1772575378418,26.301794052124,39.9059906005859,40.7114105224609,37.6326065063477,38.5939102172852,45.2321929931641,44.7255554199219,46.1935157775879,44.9723815917969,48.2192420959473,45.9726753234863,46.5182838439941,47.1997756958008,32.9538040161133,21.6669445037842
2022-01-01 11:30:00,2.70054408789333,1.998152773,2.66754406470667,57.9202812614667,0.3171171875,55.9077526397111,51.3843101825333,294.790557222667,74.4978242421333,150.537751640741,6.65647749565333,26.1522235870361,25.5615844726562,25.4234600067139,26.3902587890625,41.6298179626465,42.5586090087891,39.6998672485352,40.531135559082,45.2321929931641,45.729175567627,46.6736526489258,45.8192901611328,48.3759536743164,46.3161087036133,46.5182838439941,47.2331161499023,35.497875213623,24.1409893035889
2022-01-01 11:45:00,2.65810077398667,2.02207920803704,2.67059980852,55.8402293013333,0.313203125,55.4854968141167,51.3978225741333,293.371740301333,75.6490310378667,151.162963085185,6.63381719010667,26.1981678009033,25.3372993469238,25.3082790374756,26.4339275360107,42.906852722168,43.7122764587402,40.6334686279297,41.5947761535645,48.2230529785156,47.7264175415039,49.1943817138672,47.9732437133789,51.133415222168,48.9735412597656,49.3791084289551,50.2206420898438,36.4114723205566,24.6678085327148
2022-01-01 12:00:00,2.62846520125333,2.0412331467037,2.64870578234667,54.0692708822667,0.303760416666667,54.5646328559532,51.4083433766667,291.649954141333,77.6719715213333,151.960635407407,6.60279856757333,26.2270889282227,25.5543155670166,25.5073986053467,26.3800315856934,42.906852722168,43.7122764587402,40.6334686279297,41.5947761535645,48.2330551147461,47.7264175415039,49.1943817138672,47.9732437133789,51.3768196105957,48.9735412597656,49.5191497802734,50.2206420898438,39.1422576904297,24.6678085327148
2022-01-01 12:15:00,2.65075306793333,1.99300175744444,2.65094226404,53.9235232692,0.299953125,54.3015211389264,51.4194139714667,291.180572744,78.4096888186667,151.02092,6.61966379466667,26.3718490600586,25.5543155670166,25.7924652099609,26.1977233886719,42.906852722168,43.7122764587402,40.6334686279297,41.5947761535645,48.2330551147461,47.7264175415039,49.1943817138672,47.9732437133789,51.3768196105957,48.9735412597656,49.5191497802734,50.2206420898438,39.4123344421387,24.6678085327148
2022-01-01 12:30:00,2.63859095861333,2.00978213962963,2.6612610026,53.9375808985333,0.291638020833333,54.159636866594,51.417854268,291.549738257333,78.5759999593333,151.442472981481,6.6160575646,26.2416439056396,25.6625499725342,25.7827014923096,26.3037528991699,44.9040946960449,46.2596740722656,43.5309715270996,43.9354476928711,48.2330551147461,47.7264175415039,49.1943817138672,47.9732437133789,51.3768196105957,48.9735412597656,49.5191497802734,50.2206420898438,39.4123344421387,24.6678085327148
